"Article","Source","Source Name","URL"
"Art and Music 1","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/لودفيج_فان_بيتهوفن"
"Art and Music 2","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الناي"
"Art and Music 3","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/العود"
"art and music 8","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/نجيب_محفوظ"
"art and music 9","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/فيروز"
"Art and Music 10","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/لوتشانو_بافاروتي"
"education 4","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الرياضيات"
"education 5","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الفيزياء"
"education 6","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الأحياء"
"education 7","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/كيمياء"
"environment 1","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/سحاب"
"environment 4","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/البركان"
"environment 5","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/العاصفة_الثلجية"
"environment 6","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/نفط"
"environment 7","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الزلزال"
"environment 8","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الثلج"
"environment 9","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الحيتان"
"environment 10","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الشمس"
"environment 11","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الثعبان"
"environment 12","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الفضة"
"environment 13","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/البحر"
"environment 14","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/المطر"
"environment 15","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/الأوزون"
"environment 16","www.wikipedia.org","Wikipedia","http://ar.wikipedia.org/wiki/قمر"
